internal_id,bartlett_id,common_name,genus,latitude,longitude,color_code
2302,823686,Maple-Shantung,Acer,41.685644951,-73.890439547,009b04
2307,823691,Maple-Sugar,Acer,41.685841617,-73.890023844,009b04
2309,823693,Maple-Sugar,Acer,41.685904973,-73.889863600,009b04
2316,823700,Oak-Northern Red,Quercus,41.686184917,-73.890250146,009b04
2322,823706,Oak-Northern Red,Quercus,41.686707008,-73.890139056,009b04
2328,823712,Maple-Red,Acer,41.686047086,-73.889292919,009b04
2338,823722,Maple-Sugar,Acer,41.685757155,-73.889700885,009b04
2353,823737,Crabapple,Malus,41.686738241,-73.890653758,009b04
2355,823739,Pear-Callery,Pyrus,41.686833856,-73.890743680,009b04
2357,823741,Dogwood-Kousa,Cornus,41.686958734,-73.890729494,009b04
2360,823744,Spruce-Norway,Picea,41.686756097,-73.890559247,009b04
2366,823750,Spruce-Norway,Picea,41.684395836,-73.904147113,009b04
2382,823766,Maple-Sugar,Acer,41.684483289,-73.903300344,009b04
2389,823773,Maple-Norway,Acer,41.684589508,-73.903217979,009b04
2394,823778,Maple-Norway,Acer,41.684665511,-73.903404790,009b04
2408,823792,Elm-Chinese,Ulmus,41.685641327,-73.903143092,009b04
2410,823794,Elm-Chinese,Ulmus,41.685855578,-73.903212787,009b04
2418,823802,Pine-Eastern White,Pinus,41.686605607,-73.902269722,009b04
2426,823810,Yellowwood-American,Cladrastis,41.686213596,-73.902385181,009b04
2437,823821,Honeylocust-Thornless Common,Gleditsia,41.685303898,-73.901859958,009b04
62,807423,Oak-Pin,Quercus,41.689980954,-73.897801260,009b04
89,807450,Maple-Norway,Acer,41.688177608,-73.896657078,009b04
129,807490,Honeylocust-Thornless Common,Gleditsia,41.688934820,-73.897572565,009b04
215,807910,Maple-Norway,Acer,41.691342722,-73.899055327,009b04
273,808776,Spruce-Norway,Picea,41.691538880,-73.900133685,009b04
284,808787,Pine-Eastern White,Pinus,41.691356717,-73.899991693,009b04
342,808846,Spruce-Norway,Picea,41.689959830,-73.899433684,009b04
391,808895,Pine-Eastern White,Pinus,41.688679162,-73.898901238,009b04
453,809673,Fir-White,Abies,41.686271985,-73.897912389,009b04
683,811343,Dawn Redwood,Metasequoia,41.685287286,-73.897155177,009b04
1006,807525,Pine-Eastern White,Pinus,41.690770007,-73.895660720,ffff00
1025,807544,Fir-White,Abies,41.690153580,-73.896013896,009b04
